"event_id","disease","serotype","lat","lon","locality","country","region","location","observation_date","report_date","display_date","species","diagnosis_source","humans_affected","humans_deaths"
294281,"Influenza - Avian","H5N8 HPAI",54.28,11.08,"ostholstein (landkreis)","Germany","Europe","ostholstein (landkreis), Germany, Europe","2021-02-26","2021-04-29","2021-02-26","Wild,Anatidae (unidentified):Anatidae (incognita)(Anatidae) / Wild,Accipitridae (Accipitridae) / Wild,Swan / Wild,Anserinae (unidentified):Anserinae (incognita)(Anatidae)","OIE",,
294280,"Influenza - Avian","H5N8 HPAI",53.715,9.529,"pinneberg (landkreis)","Germany","Europe","pinneberg (landkreis), Germany, Europe","2021-02-22","2021-04-29","2021-02-22","Wild,Anserinae (unidentified):Anserinae (incognita)(Anatidae)","OIE",,
294279,"Influenza - Avian","H5N8 HPAI",54.86,8.67,"Nordfriesland (Landkreis)","Germany","Europe","Nordfriesland (Landkreis), Germany, Europe","2021-02-12","2021-04-29","2021-02-12","Wild,Anserinae (unidentified):Anserinae (incognita)(Anatidae)","OIE",,
294278,"Influenza - Avian","H5N8 HPAI",53.73,10.26,"Stormarn (Landkreis)","Germany","Europe","Stormarn (Landkreis), Germany, Europe","2021-02-24","2021-04-29","2021-02-24","Wild,Accipitridae (Accipitridae) / Wild,Strigidae (unidentified):Strigidae (incognita)(Strigidae) / Wild,Swan / Wild,Anserinae (unidentified):Anserinae (incognita)(Anatidae)","OIE",,
294277,"Influenza - Avian","H5N8 HPAI",54.533391,9.721473,"Schleswig-Flensburg (Landkreis)","Germany","Europe","Schleswig-Flensburg (Landkreis), Germany, Europe","2021-02-23","2021-04-29","2021-02-23","Wild,Accipitridae (Accipitridae) / Wild,Anserinae (unidentified):Anserinae (incognita)(Anatidae) / Wild,Swan","OIE",,
294276,"Influenza - Avian","H5N8 HPAI",54.07,9.97,"Neumünster","Germany","Europe","Neumünster, Germany, Europe","2021-03-01","2021-04-29","2021-03-01","Wild,Anserinae (unidentified):Anserinae (incognita)(Anatidae)","OIE",,
294275,"Influenza - Avian","H5N8 HPAI",54.16,9.09,"Dithmarschen (Landkreis)","Germany","Europe","Dithmarschen (Landkreis), Germany, Europe","2021-02-11","2021-04-29","2021-02-11","Wild,Laridae (unidentified):Laridae (incognita)(Laridae) / Wild,Anserinae (unidentified):Anserinae (incognita)(Anatidae) / Wild,Swan / Wild,Accipitridae (Accipitridae)","OIE",,
294237,"Influenza - Avian","H5N8 HPAI",48.108446,8.191957,"Schönwald im Schwarzwald","Germany","Europe","Schönwald im Schwarzwald, Germany, Europe","2021-03-23","2021-04-12","2021-03-23","Domestic,Unspecified bird","OIE",,
294236,"Influenza - Avian","H5N8 HPAI",48.130859,8.165859,"Schonach im Schwarzwald","Germany","Europe","Schonach im Schwarzwald, Germany, Europe","2021-03-23","2021-04-12","2021-03-23","Domestic,Unspecified bird","OIE",,
294235,"Influenza - Avian","H5N8 HPAI",48.130859,8.165859,"Schonach im Schwarzwald","Germany","Europe","Schonach im Schwarzwald, Germany, Europe","2021-03-23","2021-04-12","2021-03-23","Domestic,Unspecified bird","OIE",,
