Nº,Fecha,Comarca,ID CG,Nº brotes,Nº mov. Riesgo,Grado alerta,Temperatura estimada,Supervivencia del virus en días
1,28,PE├æARROYA-PUEBLONUEVO (VALLE DEL GUADIATO),SP14052,293278,2021-02-24,2021-02-24,Finland,Helsinki,60.2214,25.0256,Wild,Larus ridibundus,1,1,Gaviota reidora  2015-2019,5820,0.7505
0,29,DONOSTIALDEA-BIDASOA,SP20063,293282,2021-02-25,2021-02-25,Finland,Helsinki,60.1922,25.0256,Wild,Larus ridibundus,1,1,Gaviota reidora  2015-2019,5820,0.7505
1,29,DONOSTIALDEA-BIDASOA,SP20063,293278,2021-02-24,2021-02-24,Finland,Helsinki,60.2214,25.0256,Wild,Larus ridibundus,1,1,Gaviota reidora  2015-2019,5820,0.7505
0,30,B├ëJAR,SP37046,293282,2021-02-25,2021-02-25,Finland,Helsinki,60.1922,25.0256,Wild,Larus ridibundus,1,1,Gaviota reidora  2015-2019,5820,0.7505
1,30,B├ëJAR,SP37046,293278,2021-02-24,2021-02-24,Finland,Helsinki,60.2214,25.0256,Wild,Larus ridibundus,1,1,Gaviota reidora  2015-2019,5820,0.7505
0,31,MONTSIA (AMPOSTA),SP43014,293282,2021-02-25,2021-02-25,Finland,Helsinki,60.1922,25.0256,Wild,Larus ridibundus,1,1,Gaviota reidora  2015-2019,5820,0.7505
1,31,MONTSIA (AMPOSTA),SP43014,293278,2021-02-24,2021-02-24,Finland,Helsinki,60.2214,25.0256,Wild,Larus ridibundus,1,1,Gaviota reidora  2015-2019,5820,0.7505
0,32,TRUJILLO,SP10195,293282,2021-02-25,2021-02-25,Finland,Helsinki,60.1922,25.0256,Wild,Larus ridibundus,1,1,Gaviota reidora  2015-2019,5820,0.7505
1,32,TRUJILLO,SP10195,293278,2021-02-24,2021-02-24,Finland,Helsinki,60.2214,25.0256,Wild,Larus ridibundus,1,1,Gaviota reidora  2015-2019,5820,0.7505
0,33,REINOSA,SP39059,293282,2021-02-25,2021-02-25,Finland,Helsinki,60.1922,25.0256,Wild,Larus ridibundus,1,1,Gaviota reidora  2015-2019,5820,0.7505
