Nº,Fecha,Comarca,ID CG,Nº brotes,Nº mov. Riesgo,Grado alerta,Temperatura estimada,Supervivencia del virus en días
46,2021-02-01,HERRERA DEL DUQUE,SP06063,7,0.0883,1,9.2167,12.5717
47,2021-02-01,CAMPO DE GIBRALTAR,SP11004,7,0.6608,5,13.26,9.7272
48,2021-02-01,PEÑARROYA-PUEBLONUEVO (VALLE DEL GUADIATO),SP14052,7,0.2395,3,9,12.7577
49,2021-02-01,BAIX LLOBREGAT (SANT BOI),SP08200,7,0.1858,2,8.6143,13.1002
50,2021-02-01,SANTO DOMINGO DE LA CALZADA,SP26138,7,0.0646,1,3.4286,20.3046
51,2021-02-01,VILLALPANDO,SP49250,7,0.1896,2,6.7571,14.9991
52,2021-02-01,PLASENCIA,SP10148,7,0.127,1,9.7429,12.1375
53,2021-02-01,ESTELLA,SP31097,7,0.1345,2,5.2857,16.9196
54,2021-02-01,TAFALLA,SP31227,7,0.1525,2,4.9571,17.4215
55,2021-02-01,TERRA DE LEMOS-QUIROGA,SP27031,7,0.1127,1,6.8429,14.9005
56,2021-02-01,MARCHENA (SERRANÍA SUDOESTE),SP41060,7,0.1425,1,11.3286,10.9583
57,2021-02-01,PAMPLONA,SP31201,7,0.1213,2,5.0571,17.2653
58,2021-02-01,ZARAGOZA,SP50297,7,0.0939,1,7.6714,14.0067
59,2021-02-01,EJEA DE LOS CABALLEROS,SP50095,7,0.2388,4,4.9571,17.4215
60,2021-02-01,MONTSIA (AMPOSTA),SP43014,7,0.7319,5,10.8714,11.2804
61,2021-02-01,REINOSA,SP39059,7,0.2066,4,2.4,23.0938
62,2021-02-01,MADRIDEJOS,SP45087,7,0.1984,3,6.3714,15.4587
63,2021-02-01,SIERO,SP33066,7,0.3298,4,8.9143,12.8325
64,2021-02-01,MIRANDA DE EBRO,SP09219,7,0.0781,1,8.0429,13.637
65,2021-02-01,OCAÑA,SP45121,7,0.1732,2,8.5429,13.1654
66,2021-02-01,DAROCA,SP50094,7,0.2332,4,4.2,18.7176
67,2021-02-01,CASTUERA,SP06036,7,0.2547,2,10.6714,11.4256
68,2021-02-01,SELVA (SANTA COLOMA DE FARNERS),SP17180,7,0.1276,2,2.5714,22.5543
69,2021-02-01,SARIÑENA,SP22213,7,0.0889,1,5.1571,17.1122
70,2021-02-01,ZAFRA,SP06158,7,0.127,1,8.6857,13.0357
71,2021-02-01,UBEDA (LA LOMA),SP23092,7,0.0762,1,8.5,13.2047
72,2021-02-01,BALTANAS,SP34022,7,0.1245,2,5.3571,16.8147
73,2021-02-01,NAVALMORAL DE LA MATA,SP10131,7,0.1677,1,10.6857,11.4151
74,2021-02-01,NOROESTE (CARAVACA),SP30015,7,0.103,1,8.3571,13.3372
75,2021-02-01,BAÑEZA LA,SP24010,7,0.0777,1,3.1143,21.0565
76,2021-02-01,AZUAGA,SP06014,7,0.1445,1,8.6857,13.0357
77,2021-02-01,TOLEDO,SP45168,7,0.1054,1,8.5429,13.1654
78,2021-02-01,SEGRIA (LLEIDA),SP25120,7,0.207,5,2.0429,24.3538
79,2021-02-01,CARMONA (LOS ARCORES),SP41024,7,0.3226,3,12.0143,10.4987
80,2021-02-01,LEON,SP24089,7,0.0778,1,4.7,17.8381
81,2021-02-01,BAZA (ALTIPLANICIE SUR),SP18023,7,0.0952,1,6.3667,15.4646
82,2021-02-01,ALT EMPORDA (FIGUERES),SP17066,7,0.4338,5,3.1571,20.9496
83,2021-02-01,VALDERROBRES,SP44246,7,0.0825,1,6.1286,15.7626
84,2021-02-01,CANTILLANA (VEGA DE SEVILLA),SP41023,7,0.2434,2,12.0143,10.4987
85,2021-02-01,ALMODOVAR DEL CAMPO,SP13015,7,0.0992,1,7.9429,13.7348
86,2021-02-01,LOGROSAN (ZORITA),SP10109,7,0.1334,1,10.6714,11.4256
87,2021-02-01,ANTEQUERA (ANTEQUERA),SP29015,7,0.1971,2,8.5714,13.1392
88,2021-02-01,VERIN,SP32085,7,0.1486,2,7.1,14.6121
89,2021-02-01,SAHAGUN,SP24139,7,0.3407,5,5.5429,16.5482
90,2021-02-01,SANTA FE (VEGA DE GRANADA),SP18175,7,0.2094,3,7.2571,14.4409
91,2021-02-01,MORA DE RUBIELOS,SP44158,7,0.0884,1,4.9714,17.399
92,2021-02-01,TERUEL,SP44216,7,0.0884,2,2.5286,22.6857
93,2021-02-01,VALLES ORIENTAL (GRANOLLERS),SP08096,7,0.0953,1,7.1571,14.5494
94,2021-02-01,MONTALBÁN,SP44155,7,0.0913,1,3.2857,20.6375
95,2021-02-01,CALZADA DE CALATRAVA,SP13027,7,0.1314,1,7.1714,14.5338
96,2021-02-01,OSONA (VIC),SP08298,7,0.063,1,1.0143,29.8291
97,2021-02-01,GARROTXA (OLOT),SP17114,7,0.0671,1,3.1571,20.9496
98,2021-02-01,CUENCA,SP16078,7,0.299,5,4.1857,18.7443
99,2021-02-01,CAZALLA DE LA SIERRA (SIERRA NORTE),SP41032,7,0.2482,3,7.4571,14.2283
100,2021-02-01,MOTILLA DEL PALANCAR,SP16134,7,0.0706,1,5.2857,16.9196
101,2021-02-01,ALFAMBRA,SP44016,7,0.076,1,2.5286,22.6857
102,2021-02-01,ALT URGELL (SEU D'URGELL),SP25203,7,0.044,2,-1.1,66
103,2021-02-01,SEGOVIA,SP40194,7,0.12,3,1.5571,26.4769
104,2021-02-01,LOJA (VEGA/MONTES OCC.),SP18122,7,0.0812,1,7.2571,14.4409
105,2021-02-01,BERGUEDA (BERGA),SP08022,7,0.023,1,-1.2714,66
106,2021-02-01,ALBARRACÍN,SP44009,7,0.1717,3,2.5286,22.6857
107,2021-02-01,TAUSTE,SP50252,7,0.1127,1,4.9571,17.4215
108,2021-02-01,PAREDES DE NAVA,SP34123,7,0.0614,1,5.3571,16.8147
109,2021-02-01,SEPÚLVEDA,SP40195,7,0.0315,1,0.7,32.7292
1,2021-02-08,CARTAYA (COSTA OCCIDENTAL),SP21021,5,0.6834,5,11.9571,10.536
2,2021-02-08,LITORAL,SP11016,5,1.5687,5,13.5429,9.5622
3,2021-02-08,ALMONTE (ENTORNO DE DOÑANA),SP21005,5,1.4049,5,11.5143,10.8311
4,2021-02-08,A MARIÑA OCCIDENTAL,SP27066,5,0.1259,1,9.8286,12.069
5,2021-02-08,MADRID (C.U.),SP28079,5,0.7619,5,6.4857,15.3197
6,2021-02-08,SANLUCAR LA MAYOR (PONIENTE DE SEVILLA),SP41087,5,1.6677,5,10.8,11.3319
7,2021-02-08,GIJON,SP33024,5,0.463,5,9.3,12.5013
8,2021-02-08,VIGO-O BAIXO MIÑO,SP36039,5,0.2464,3,6.9571,14.771
9,2021-02-08,BURGOS,SP09059,5,0.0676,1,3.8,19.5003
10,2021-02-08,ZAMORA,SP49275,5,0.0887,1,6.4,15.4237
11,2021-02-08,UTRERA (BAJO GUADALQUIVIR),SP41095,5,0.9721,5,10.1571,11.8119
12,2021-02-08,O SAR-BARBANZA,SP15065,5,0.3262,4,7.1286,14.5807
13,2021-02-08,MANZANARES,SP13053,5,0.389,5,5.9,16.0599
14,2021-02-08,CACERES,SP10037,5,0.4196,5,8.5571,13.1523
15,2021-02-08,MERIDA,SP06083,5,0.4615,5,8.5571,13.1523
16,2021-02-08,L'HORTA SUD-ALDAIA,SP46021,5,0.1342,1,10.7571,11.363
17,2021-02-08,COLMENAR VIEJO,SP28045,5,0.5586,5,5.5286,16.5684
18,2021-02-08,BADAJOZ,SP06015,5,0.5453,5,9.7286,12.149
19,2021-02-08,DON BENITO,SP06044,5,0.3839,4,8.7857,12.9461
20,2021-02-08,ARANJUEZ,SP28013,5,0.3404,4,7.7667,13.9102
21,2021-02-08,BAJO ANDARAX/CAMPO DE TABERNA,SP04013,5,0.1377,1,8.5429,13.1654
22,2021-02-08,PONTEVEDRA-O MORRAZO,SP36038,5,0.1156,1,6.9571,14.771
23,2021-02-08,VELEZ-MALAGA (AXARQUÍA/COSTA DE MÁLAGA),SP29094,5,0.2238,2,10.8714,11.2804
24,2021-02-08,LA JANDA,SP11023,5,0.2178,2,11.1143,11.1076
25,2021-02-08,TORRIJOS,SP45173,5,0.0991,1,8.0,13.6788
26,2021-02-08,MALAGA (GUADAHORCE ORIENTAL),SP29067,5,0.4811,4,13.0143,9.8735
27,2021-02-08,POSADAS (VEGA DEL GUADALQUIVIR),SP14053,5,0.3048,3,9.9143,12.0011
28,2021-02-08,ARABA-ALAVA,SP01059,5,0.6305,5,5.7143,16.31
29,2021-02-08,LUGO,SP27028,5,0.1088,1,4.8571,17.5809
30,2021-02-08,TALAVERA DE LA REINA,SP45165,5,0.4438,5,7.32,14.3734
31,2021-02-08,SALAMANCA,SP37274,5,0.25,4,5.6429,16.4083
32,2021-02-08,BUSTURIALDEA,SP48021,5,0.1353,1,9.6857,12.1835
33,2021-02-08,CAMPIÑA,SP11020,5,1.4207,5,10.2714,11.7244
34,2021-02-08,IRURZUN,SP31904,5,0.1557,1,10.2286,11.7571
35,2021-02-08,DONOSTIALDEA-BIDASOA,SP20063,5,0.2901,3,9.6286,12.2298
36,2021-02-08,ARGANDA DEL REY,SP28014,5,0.2575,4,5.4286,16.7111
37,2021-02-08,TUDELA,SP31232,5,0.0869,1,6.6714,15.0989
38,2021-02-08,TRUJILLO,SP10195,5,0.3104,4,8.7857,12.9461
39,2021-02-08,TORRELAVEGA,SP39087,5,0.1924,2,9.2571,12.5374
40,2021-02-08,HERRERA DEL DUQUE,SP06063,5,0.0822,1,9.3143,12.4893
41,2021-02-08,CAMPO DE GIBRALTAR,SP11004,5,0.4755,5,11.3571,10.9386
42,2021-02-08,PEÑARROYA-PUEBLONUEVO (VALLE DEL GUADIATO),SP14052,5,0.1928,2,9.9143,12.0011
43,2021-02-08,BAIX LLOBREGAT (SANT BOI),SP08200,5,0.1546,1,10.6,11.4781
44,2021-02-08,SANTO DOMINGO DE LA CALZADA,SP26138,5,0.0659,1,3.9,19.2972
45,2021-02-08,VILLALPANDO,SP49250,5,0.1765,2,5.6857,16.3492
46,2021-02-08,PLASENCIA,SP10148,5,0.0767,1,8.2571,13.4314
47,2021-02-08,BÉJAR,SP37046,5,0.0175,1,-0.9714,66
48,2021-02-08,ESTELLA,SP31097,5,0.1002,1,5.8571,16.1169
49,2021-02-08,TAFALLA,SP31227,5,0.1089,1,6.6714,15.0989
50,2021-02-08,TERRA DE LEMOS-QUIROGA,SP27031,5,0.0913,1,3.8,19.5003
51,2021-02-08,MARCHENA (SERRANÍA SUDOESTE),SP41060,5,0.0957,1,10.1571,11.8119
52,2021-02-08,PAMPLONA,SP31201,5,0.0931,1,7.3,14.3948
53,2021-02-08,ZARAGOZA,SP50297,5,0.0932,1,7.9429,13.7348
54,2021-02-08,EJEA DE LOS CABALLEROS,SP50095,5,0.0848,1,6.6714,15.0989
55,2021-02-08,MONTSIA (AMPOSTA),SP43014,5,0.5894,5,10.4,11.6271
56,2021-02-08,RONDA (RONDA),SP29084,5,0.0632,1,4.5714,18.055
57,2021-02-08,REINOSA,SP39059,5,0.175,4,2.3286,23.3301
58,2021-02-08,FABERO,SP24070,5,0.0198,1,-0.2,66
59,2021-02-08,MADRIDEJOS,SP45087,5,0.1683,2,6.2429,15.6182
60,2021-02-08,SIERO,SP33066,5,0.2286,3,7.4429,14.2433
61,2021-02-08,GUADALAJARA,SP19130,5,0.1566,3,2.65,22.3189
62,2021-02-08,OCAÑA,SP45121,5,0.1224,1,7.7667,13.9102
63,2021-02-08,SEGRIA (LLEIDA),SP25120,5,0.1684,3,4.6571,17.9097
64,2021-02-08,LEON,SP24089,5,0.0741,1,3.3286,20.5361
65,2021-02-08,NAVALMORAL DE LA MATA,SP10131,5,0.1203,1,8.7286,12.9972
66,2021-02-08,ZAFRA,SP06158,5,0.0988,1,7.9143,13.763
67,2021-02-08,AZUAGA,SP06014,5,0.1126,1,7.9143,13.763
68,2021-02-08,ALMODOVAR DEL CAMPO,SP13015,5,0.0778,1,6.6,15.1831
69,2021-02-08,ALCALA DE HENARES,SP28005,5,0.091,1,5.4286,16.7111
70,2021-02-08,CANTILLANA (VEGA DE SEVILLA),SP41023,5,0.1849,2,10.8,11.3319
71,2021-02-08,CASTUERA,SP06036,5,0.1803,2,8.7857,12.9461
72,2021-02-08,SARIÑENA,SP22213,5,0.0787,1,6.1857,15.6901
73,2021-02-08,CARMONA (LOS ARCORES),SP41024,5,0.2821,3,10.8,11.3319
74,2021-02-08,ALFAMBRA,SP44016,5,0.0696,1,2.3857,23.1405
75,2021-02-08,MONTALBÁN,SP44155,5,0.085,1,3.9286,19.2401
76,2021-02-08,PAREDES DE NAVA,SP34123,5,0.052,1,3.3714,20.4361
77,2021-02-08,DAROCA,SP50094,5,0.113,1,5.9143,16.041
78,2021-02-08,SELVA (SANTA COLOMA DE FARNERS),SP17180,5,0.0875,1,5.4429,16.6905
79,2021-02-08,BALTANAS,SP34022,5,0.0971,1,3.3714,20.4361
80,2021-02-08,NOROESTE (CARAVACA),SP30015,5,0.0918,1,5.4429,16.6905
81,2021-02-08,BAÑEZA LA,SP24010,5,0.0578,1,1.2286,28.3302
82,2021-02-08,ALT EMPORDA (FIGUERES),SP17066,5,0.2638,4,6.4167,15.4034
83,2021-02-08,LOGROSAN (ZORITA),SP10109,5,0.0778,1,8.7857,12.9461
84,2021-02-08,COGOLLUDO,SP19092,5,0.0271,1,0.2,42.5258
85,2021-02-08,ANTEQUERA (ANTEQUERA),SP29015,5,0.1073,1,7.8857,13.7913
86,2021-02-08,VERIN,SP32085,5,0.0428,1,1.3667,27.4972
87,2021-02-08,SAHAGUN,SP24139,5,0.1895,3,4.1714,18.771
88,2021-02-08,SANTA FE (VEGA DE GRANADA),SP18175,5,0.1081,1,5.1286,17.1557
89,2021-02-08,MORA DE RUBIELOS,SP44158,5,0.0495,1,3.2,20.8442
90,2021-02-08,TERUEL,SP44216,5,0.0495,1,2.3857,23.1405
91,2021-02-08,CALZADA DE CALATRAVA,SP13027,5,0.1002,1,5.1,17.1993
92,2021-02-08,OSONA (VIC),SP08298,5,0.0632,1,2.2571,23.5737
93,2021-02-08,CUENCA,SP16078,5,0.1197,2,4.7857,17.6967
94,2021-02-08,ALT URGELL (SEU D'URGELL),SP25203,5,0.0418,1,1.7286,25.6602
95,2021-02-08,SEGOVIA,SP40194,5,0.0855,5,-0.0857,66
96,2021-02-08,LOJA (VEGA/MONTES OCC.),SP18122,5,0.0637,1,5.1286,17.1557
97,2021-02-08,LENA,SP33033,5,0.03,1,0.1714,43.7313
1,2021-02-15,CARTAYA (COSTA OCCIDENTAL),SP21021,1,0.4524,5,10.6857,11.4151
2,2021-02-15,LITORAL,SP11016,1,1.0432,5,13.8571,9.3828
3,2021-02-15,ALMONTE (ENTORNO DE DOÑANA),SP21005,1,0.8633,5,11.8286,10.6205
4,2021-02-15,MADRID (C.U.),SP28079,1,0.4605,5,4.6571,17.9097
5,2021-02-15,SANLUCAR LA MAYOR (PONIENTE DE SEVILLA),SP41087,1,1.0508,5,10.5857,11.4887
6,2021-02-15,GIJON,SP33024,1,0.2996,3,9.5429,12.2997
7,2021-02-15,VIGO-O BAIXO MIÑO,SP36039,1,0.1779,2,8.4,13.2972
8,2021-02-15,ZAMORA,SP49275,1,0.0853,1,5.4429,16.6905
9,2021-02-15,UTRERA (BAJO GUADALQUIVIR),SP41095,1,0.6188,5,10.0571,11.8892
10,2021-02-15,O SAR-BARBANZA,SP15065,1,0.203,2,8.84,12.898
11,2021-02-15,MANZANARES,SP13053,1,0.2733,4,5.5143,16.5886
12,2021-02-15,CACERES,SP10037,1,0.1835,2,8.3857,13.3105
13,2021-02-15,MERIDA,SP06083,1,0.276,3,8.3857,13.3105
14,2021-02-15,L'HORTA SUD-ALDAIA,SP46021,1,0.1001,1,9.5571,12.288
15,2021-02-15,COLMENAR VIEJO,SP28045,1,0.4071,5,4.3143,18.5077
16,2021-02-15,BADAJOZ,SP06015,1,0.314,3,9.2714,12.5253
17,2021-02-15,DON BENITO,SP06044,1,0.1967,2,7.675,14.0031
18,2021-02-15,ARANJUEZ,SP28013,1,0.2095,3,5.0429,17.2875
19,2021-02-15,BAJO ANDARAX/CAMPO DE TABERNA,SP04013,1,0.1017,1,7.6571,14.0213
20,2021-02-15,PONTEVEDRA-O MORRAZO,SP36038,1,0.0894,1,8.4,13.2972
21,2021-02-15,VELEZ-MALAGA (AXARQUÍA/COSTA DE MÁLAGA),SP29094,1,0.1188,1,11.9,10.5735
22,2021-02-15,LA JANDA,SP11023,1,0.1355,1,11.7857,10.6489
23,2021-02-15,MALAGA (GUADAHORCE ORIENTAL),SP29067,1,0.2426,2,13.3143,9.6953
24,2021-02-15,POSADAS (VEGA DEL GUADALQUIVIR),SP14053,1,0.2566,3,8.9857,12.7701
25,2021-02-15,ARABA-ALAVA,SP01059,1,0.4868,5,3.1143,21.0565
26,2021-02-15,TALAVERA DE LA REINA,SP45165,1,0.2734,4,6.1571,15.7263
27,2021-02-15,SALAMANCA,SP37274,1,0.1402,2,3.2857,20.6375
28,2021-02-15,CAMPIÑA,SP11020,1,0.928,5,9.0714,12.6959
29,2021-02-15,IRURZUN,SP31904,1,0.1333,1,6.7857,14.9661
30,2021-02-15,DONOSTIALDEA-BIDASOA,SP20063,1,0.1733,2,7.9714,13.7067
31,2021-02-15,ARGANDA DEL REY,SP28014,1,0.146,2,3.8,19.5003
32,2021-02-15,TUDELA,SP31232,1,0.0592,1,4.3,18.5336
33,2021-02-15,TRUJILLO,SP10195,1,0.1593,2,7.675,14.0031
34,2021-02-15,HERRERA DEL DUQUE,SP06063,1,0.0845,1,7.6571,14.0213
35,2021-02-15,CAMPO DE GIBRALTAR,SP11004,1,0.2898,3,11.4143,10.8994
36,2021-02-15,PEÑARROYA-PUEBLONUEVO (VALLE DEL GUADIATO),SP14052,1,0.1581,2,8.9857,12.7701
37,2021-02-15,BAIX LLOBREGAT (SANT BOI),SP08200,1,0.1128,1,8.4429,13.2574
38,2021-02-15,NAJERA,SP26102,1,0.0421,2,-0.2143,66
39,2021-02-15,SANTO DOMINGO DE LA CALZADA,SP26138,1,0.059,3,-0.2143,66
40,2021-02-15,VILLALPANDO,SP49250,1,0.0918,1,4.0857,18.9334
41,2021-02-15,BÉJAR,SP37046,1,0.0177,1,-1.3143,66
42,2021-02-15,PAMPLONA,SP31201,1,0.0603,1,3.8714,19.3547
43,2021-02-15,MONTSIA (AMPOSTA),SP43014,1,0.3644,4,7.9857,13.6927
44,2021-02-15,REINOSA,SP39059,1,0.1294,4,0.8429,31.2769
45,2021-02-15,FABERO,SP24070,1,0.0167,1,-0.1714,66
46,2021-02-15,MADRIDEJOS,SP45087,1,0.087,1,4.4429,18.2781
47,2021-02-15,SIERO,SP33066,1,0.1634,2,6.8143,14.9333
48,2021-02-15,TORRELAVEGA,SP39087,1,0.1048,1,8.0429,13.637
49,2021-02-15,GUADALAJARA,SP19130,1,0.1173,3,0.9286,30.5195
50,2021-02-15,OCAÑA,SP45121,1,0.065,1,5.0429,17.2875
51,2021-02-15,SEGRIA (LLEIDA),SP25120,1,0.0967,2,1.9286,24.804
52,2021-02-15,SEPÚLVEDA,SP40195,1,0.017,1,-0.7571,66
53,2021-02-15,AZUAGA,SP06014,1,0.0801,1,7.5,14.1835
54,2021-02-15,ALCALA DE HENARES,SP28005,1,0.0526,1,3.8,19.5003
55,2021-02-15,CANTILLANA (VEGA DE SEVILLA),SP41023,1,0.1013,1,10.5857,11.4887
56,2021-02-15,CASTUERA,SP06036,1,0.1299,1,7.675,14.0031
57,2021-02-15,CARMONA (LOS ARCORES),SP41024,1,0.1828,2,10.5857,11.4887
58,2021-02-15,MONTALBÁN,SP44155,1,0.0438,1,1.6857,25.8565
59,2021-02-15,DAROCA,SP50094,1,0.0913,2,2.1571,23.9281
60,2021-02-15,SELVA (SANTA COLOMA DE FARNERS),SP17180,1,0.0564,1,3.1833,20.885
61,2021-02-15,BALTANAS,SP34022,1,0.0584,1,2.0714,24.2452
62,2021-02-15,BAÑEZA LA,SP24010,1,0.0354,1,0.1286,45.9809
63,2021-02-15,ALT EMPORDA (FIGUERES),SP17066,1,0.1938,3,3.3286,20.5361
64,2021-02-15,COGOLLUDO,SP19092,1,0.0257,1,-0.7571,66
65,2021-02-15,OSONA (VIC),SP08298,1,0.0641,1,2.0143,24.4639
66,2021-02-15,SAHAGUN,SP24139,1,0.1181,2,2.3857,23.1405
67,2021-02-15,MORA DE RUBIELOS,SP44158,1,0.0499,1,2.2857,23.4754
68,2021-02-15,TERUEL,SP44216,1,0.0499,1,1.8714,25.0392
69,2021-02-15,CUENCA,SP16078,1,0.0724,1,1.7857,25.4058
70,2021-02-15,SEGOVIA,SP40194,1,0.032,2,-1.1571,66
1,2021-02-22,CARTAYA (COSTA OCCIDENTAL),SP21021,1,0.2812,3,9.6286,12.2298
2,2021-02-22,LITORAL,SP11016,1,0.8326,5,12.3,10.3149
3,2021-02-22,ALMONTE (ENTORNO DE DOÑANA),SP21005,1,0.629,5,8.3571,13.3372
4,2021-02-22,MADRID (C.U.),SP28079,1,0.4163,5,2.7143,22.1315
5,2021-02-22,SANLUCAR LA MAYOR (PONIENTE DE SEVILLA),SP41087,1,0.7605,5,7.8,13.8768
6,2021-02-22,GIJON,SP33024,1,0.2214,2,10.2,11.7789
7,2021-02-22,VIGO-O BAIXO MIÑO,SP36039,1,0.1435,1,8.2286,13.4585
8,2021-02-22,UTRERA (BAJO GUADALQUIVIR),SP41095,1,0.5239,5,6,15.9284
9,2021-02-22,O SAR-BARBANZA,SP15065,1,0.1512,2,7.6571,14.0213
10,2021-02-22,MANZANARES,SP13053,1,0.2361,4,3.7286,19.6487
11,2021-02-22,CACERES,SP10037,1,0.1168,1,5.8571,16.1169
12,2021-02-22,MERIDA,SP06083,1,0.2168,3,5.8571,16.1169
13,2021-02-22,L'HORTA SUD-ALDAIA,SP46021,1,0.0781,1,8.2571,13.4314
14,2021-02-22,COLMENAR VIEJO,SP28045,1,0.373,5,4.8714,17.5579
15,2021-02-22,BADAJOZ,SP06015,1,0.2081,3,6.4,15.4237
16,2021-02-22,DON BENITO,SP06044,1,0.1522,2,6.8429,14.9005
17,2021-02-22,ARANJUEZ,SP28013,1,0.1817,3,3.7429,19.6188
18,2021-02-22,BAJO ANDARAX/CAMPO DE TABERNA,SP04013,1,0.0832,1,5.9429,16.0033
19,2021-02-22,LA JANDA,SP11023,1,0.1165,1,10.1571,11.8119
20,2021-02-22,MALAGA (GUADAHORCE ORIENTAL),SP29067,1,0.1967,2,11.6571,10.7347
21,2021-02-22,POSADAS (VEGA DEL GUADALQUIVIR),SP14053,1,0.2086,3,5.5143,16.5886
22,2021-02-22,ARABA-ALAVA,SP01059,1,0.394,5,6.1429,15.7444
23,2021-02-22,TALAVERA DE LA REINA,SP45165,1,0.2394,4,4.3571,18.4304
24,2021-02-22,SALAMANCA,SP37274,1,0.0948,1,4.4286,18.3032
25,2021-02-22,CAMPIÑA,SP11020,1,0.7082,5,6.2,15.672
26,2021-02-22,IRURZUN,SP31904,1,0.094,1,10.8143,11.3216
27,2021-02-22,DONOSTIALDEA-BIDASOA,SP20063,1,0.1348,1,9.7,12.172
28,2021-02-22,ARGANDA DEL REY,SP28014,1,0.136,3,2.3429,23.2823
29,2021-02-22,CAMPO DE GIBRALTAR,SP11004,1,0.2655,2,11.1571,11.0775
30,2021-02-22,PEÑARROYA-PUEBLONUEVO (VALLE DEL GUADIATO),SP14052,1,0.131,2,5.5143,16.5886
31,2021-02-22,BAIX LLOBREGAT (SANT BOI),SP08200,1,0.0933,1,8.6429,13.0743
32,2021-02-22,SANTO DOMINGO DE LA CALZADA,SP26138,1,0.0438,1,1.8857,24.9797
33,2021-02-22,TRUJILLO,SP10195,1,0.1235,1,6.8429,14.9005
34,2021-02-22,MONTSIA (AMPOSTA),SP43014,1,0.3085,4,8.3857,13.3105
35,2021-02-22,REINOSA,SP39059,1,0.1261,2,5.9,16.0599
36,2021-02-22,MADRIDEJOS,SP45087,1,0.0554,1,2.2857,23.4754
37,2021-02-22,SIERO,SP33066,1,0.1088,1,7.9,13.7771
38,2021-02-22,SEGRIA (LLEIDA),SP25120,1,0.101,1,4.0857,18.9334
39,2021-02-22,GUADALAJARA,SP19130,1,0.0866,2,0.6,33.9347
40,2021-02-22,ALCALA DE HENARES,SP28005,1,0.0477,1,2.3429,23.2823
41,2021-02-22,CANTILLANA (VEGA DE SEVILLA),SP41023,1,0.093,1,7.8,13.8768
42,2021-02-22,CASTUERA,SP06036,1,0.101,1,6.8429,14.9005
43,2021-02-22,CARMONA (LOS ARCORES),SP41024,1,0.1812,2,7.8,13.8768
44,2021-02-22,MONTALBÁN,SP44155,1,0.0434,1,1.8286,25.2204
45,2021-02-22,DAROCA,SP50094,1,0.0606,1,2.9857,21.3862
46,2021-02-22,ALT EMPORDA (FIGUERES),SP17066,1,0.1754,3,4.7571,17.7436
47,2021-02-22,CALZADA DE CALATRAVA,SP13027,1,0.0596,1,4.8857,17.535
48,2021-02-22,OSONA (VIC),SP08298,1,0.0612,1,2.1286,24.0324
49,2021-02-22,SAHAGUN,SP24139,1,0.1017,1,3.7286,19.6487
50,2021-02-22,SANTA FE (VEGA DE GRANADA),SP18175,1,0.0403,1,1.5857,26.3347
51,2021-02-22,MORA DE RUBIELOS,SP44158,1,0.0376,1,1.3857,27.389
52,2021-02-22,TERUEL,SP44216,1,0.0376,1,0.9714,30.1667
53,2021-02-22,CUENCA,SP16078,1,0.0661,2,0.4,37.1054
1,2021-03-01,CARTAYA (COSTA OCCIDENTAL),SP21021,2,0.2089,2,9.4714,12.3585
2,2021-03-01,LITORAL,SP11016,2,0.7269,5,12.4714,10.2067
3,2021-03-01,ALMONTE (ENTORNO DE DOÑANA),SP21005,2,0.4933,5,8.4286,13.2707
4,2021-03-01,MADRID (C.U.),SP28079,2,0.3593,5,2.2,23.7743
5,2021-03-01,SANLUCAR LA MAYOR (PONIENTE DE SEVILLA),SP41087,2,0.5747,5,7.6286,14.0505
6,2021-03-01,GIJON,SP33024,2,0.1446,1,9.3857,12.4295
7,2021-03-01,VIGO-O BAIXO MIÑO,SP36039,2,0.1079,1,7.1571,14.5494
8,2021-03-01,UTRERA (BAJO GUADALQUIVIR),SP41095,2,0.4504,5,7.3143,14.3795
9,2021-03-01,O SAR-BARBANZA,SP15065,2,0.113,1,6.5714,15.217
10,2021-03-01,MANZANARES,SP13053,2,0.2341,4,3.1429,20.9851
11,2021-03-01,CACERES,SP10037,2,0.1016,1,4.6143,17.982
12,2021-03-01,MERIDA,SP06083,2,0.1743,3,4.6143,17.982
13,2021-03-01,ZAMORA,SP49275,2,0.046,1,2.8143,21.8486
14,2021-03-01,COLMENAR VIEJO,SP28045,2,0.3006,5,4.5571,18.0794
15,2021-03-01,BADAJOZ,SP06015,2,0.1679,2,5.5429,16.5482
16,2021-03-01,DON BENITO,SP06044,2,0.1134,1,5.7429,16.271
17,2021-03-01,ARANJUEZ,SP28013,2,0.1571,3,3.1429,20.9851
18,2021-03-01,LA JANDA,SP11023,2,0.1086,1,10.5143,11.5416
19,2021-03-01,MALAGA (GUADAHORCE ORIENTAL),SP29067,2,0.1534,1,13.7429,9.4475
20,2021-03-01,POSADAS (VEGA DEL GUADALQUIVIR),SP14053,2,0.1569,2,5.5429,16.5482
21,2021-03-01,ARABA-ALAVA,SP01059,2,0.3695,5,3.7,19.7088
22,2021-03-01,TALAVERA DE LA REINA,SP45165,2,0.1715,3,4.8286,17.627
23,2021-03-01,SALAMANCA,SP37274,2,0.0738,3,0.2143,41.9863
24,2021-03-01,CAMPIÑA,SP11020,2,0.6175,5,6.5714,15.217
25,2021-03-01,CAMPO DE GIBRALTAR,SP11004,2,0.2445,2,11.3857,10.9189
